"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var50","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0100835643997986,0.0347164356002014,"district","rania",NA
"dependent.var51","a65","na","NA","NA","0.02 (0.02-0)",NA,0.0154991894753568,0.0299549957924324,"district","al.najaf",NA
"dependent.var52","a65","na","NA","NA","0.02 (0.02-0)",NA,0.0163674710452148,0.0248492378036295,"district","al.adhamiya",NA
"dependent.var53","a65","na","NA","NA","0.01 (0-0)",NA,0.00108184573013006,0.0149638204608948,"district","al.nasiriya",NA
"dependent.var54","a65","na","NA","NA","0.01 (0-0)",NA,0.000550442328755848,0.014264372486059,"district","al.kut",NA
"dependent.var55","a65","na","NA","NA","0.01 (0-0)",NA,-0.000544182360714548,0.0113549931715254,"district","al.suwaira",NA
"dependent.var56","a65","na","NA","NA","0.02 (0.01-0)",NA,0.00612947106438269,0.0258008627527436,"district","chamchamal",NA
"dependent.var57","a65","na","NA","NA","0.02 (0.01-0)",NA,0.0099820368529967,0.029395709438593,"district","al.mahmoudiya",NA
"dependent.var58","a65","na","NA","NA","0.01 (0-0)",NA,0.00146503912907268,0.0159768213360436,"district","al.diwaniya",NA
"dependent.var59","a65","na","NA","NA","0",NA,-0.0017073347841838,0.00782354273525413,"district","al.mussyab",NA
"dependent.var60","a65","na","NA","NA","0.01 (0-0)",NA,0.00344181181476496,0.0251098030923595,"district","aqra",NA
"dependent.var61","a65","na","NA","NA","0.03 (0.02-0)",NA,0.0158121099999234,0.036819468947445,"district","duhok",NA
"dependent.var62","a65","na","NA","NA","0.01 (-0.01-0)",NA,-0.0088240852031335,0.0299881063671547,"district","samarra",NA
"dependent.var63","a65chronic","na","NA","NA","0.03 (0-0)",NA,-0.000455703028542042,0.0543300329603064,"district","tooz.khurmato",NA
"dependent.var64","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00230970154604212,0.0146588355776387,"district","telafar",NA
"dependent.var65","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00209305670538163,0.0218877586423402,"district","kerbela",NA
"dependent.var66","a65chronic","na","NA","NA","0",NA,0,0,"district","baquba",NA
"dependent.var67","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0138703464835546,0.0310961107521304,"district","kirkuk",NA
"dependent.var68","a65chronic","na","NA","NA","0.02 (0.01-0)",NA,0.0110854096382876,0.0268611750064093,"district","al.hamdaniya",NA
"dependent.var69","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.00369583975384969,0.0105585980423132,"district","al.mosul",NA
"dependent.var70","a65chronic","na","NA","NA","0.01 (0.01-0)",NA,0.00846865362718476,0.017213529358369,"district","dokan",NA
"dependent.var71","a65chronic","na","NA","NA","0.01 (0-0)",NA,0.0023157015806,0.0250505535634329,"district","balad",NA
