"governorate","district","a65","a65_min","a65_max","a65chronic","a65chronic_min","a65chronic_max","health_issue.chronic","health_issue.chronic_min","health_issue.chronic_max","a65andorchronic","a65andorchronic_min","a65andorchronic_max"
"","","People above the age of 65","","","People above the age of 65 with a chronic health condition","","","People with a chronic health condition","","","People above the age of 65 and/or with a chronic health condition","",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","",NA,"","",NA,"","",NA,"","",NA,"",""
"","","numerical","","","numerical","","","numerical","","","numerical","",""
"Ninewa","Al-Mosul","0.0161870503597122","0.00505979170442803","0.0273143090149964","0.0143884892086331","0.00441468363723035","0.0243622947800358","0.100719424460432","0.0526536235584725","0.148785225362391","0.102517985611511","0.0541750272803047","0.150860943942717"
"Ninewa","Al-Shikhan","0.0297397769516729","0.0184147069767858","0.04106484692656","0.020817843866171","0.0154302387974901","0.0262054489348519","0.135315985130112","0.106119384934966","0.164512585325257","0.144237918215613","0.11270351349769","0.175772322933537"
"Ninewa","Aqra","0.0139372822299652","0.000561809727076116","0.0273127547328542","0.0127758420441347","-0.000535463244599483","0.0260871473328689","0.0963995354239257","0.07838280206185","0.114416268786001","0.0975609756097561","0.0794507497304373","0.115671201489075"
"Ninewa","Sinjar","0.0203442879499218","0.00615532626119045","0.0345332496386531","0.0125195618153365","-0.00517915160198744","0.0302182752326604","0.0751173708920188","0.0491436786236374","0.1010910631604","0.0829420970266041","0.0617578977015215","0.104126296351687"
"Ninewa","Telafar","0.0145137880986938","0.00669005867577174","0.0223375175216158","0.0101596516690856","0.00151882536814558","0.0188004779700257","0.0754716981132076","0.0554835914047699","0.0954598048216452","0.0798258345428157","0.0623522831216663","0.0972993859639651"
"Ninewa","Tilkaef","0.0248275862068966","0.0159139654233372","0.0337412069904559","0.0179310344827586","0.0118146448953232","0.024047424070194","0.117241379310345","0.0943181070544026","0.140164651566287","0.124137931034483","0.0997487886749888","0.148527073393977"
"Salah Al-Din","Al-Shirqat","0.0124869927159209","0.00871020707715073","0.0162637783546911","0.0072840790842872","0.00453432754059285","0.0100338306279815","0.0613943808532778","0.0515402785954297","0.0712484831111259","0.0665972944849115","0.05655582772495","0.0766387612448731"
"Salah Al-Din","Balad","0","0","0","0","0","0","0.012987012987013","0.00108028508310191","0.0248937408909241","0.012987012987013","0.00108028508310191","0.0248937408909241"
"Salah Al-Din","Beygee","0.0257879656160458","0.0200582043556499","0.0315177268764418","0.0114613180515759","-0.000402498637297145","0.023325134740449","0.0945558739255014","0.0681595178096448","0.120952230041358","0.108882521489971","0.0808440575167667","0.136920985463176"
"Salah Al-Din","Samarra","0.0105820105820106","-0.012541778791218","0.0337057999552392","0","0","0","0.0582010582010582","0.036788866318805","0.0796132500833114","0.0687830687830688","0.0470604311938893","0.0905057063722483"
"Salah Al-Din","Tikrit","0.0185567010309278","0.00654765831622652","0.0305657437456292","0.00618556701030928","-0.00178057684595907","0.0141517108665776","0.0474226804123711","0.0207140252700696","0.0741313355546727","0.0597938144329897","0.0310228532577085","0.0885647756082709"
"Salah Al-Din","Tooz Khurmato","0.0252365930599369","0.00336784715603375","0.0471053389638401","0.0157728706624606","-0.00294944794350188","0.034495189268423","0.0662460567823344","-0.0137757960249544","0.146267909589623","0.0757097791798107","-0.00667439972086956","0.158093958080491"
"Thi-Qar","Al-Nasiriya","0.0299003322259136","0.00828442243359854","0.0515162420182287","0","0","0","0","0","0","0.0299003322259136","0.00828442243359854","0.0515162420182287"
"Wassit","Al-Kut","0.00740740740740741","-0.000763170434411955","0.0155779852492268","0","0","0","0.0320987654320988","0.00597580580624092","0.0582217250579566","0.0395061728395062","0.0142523252098878","0.0647600204691245"
"Wassit","Al-Suwaira","0.00540540540540541","-0.00168396568110724","0.012494776491918","0.0027027027027027","-0.00251717970156804","0.00792258510697345","0.0351351351351351","0.015367404889283","0.0549028653809873","0.0378378378378378","0.0175851735392261","0.0580905021364496"
